Year,0,1,2,3,4,5
2017,Central,Team | Roster,Wins,Losses,Ties,WP,GB
2017,Central,Cleveland Indians,102,60,0,.630,--
2017,Central,Minnesota Twins,85,77,0,.525,17.0
2017,Central,Kansas City Royals,80,82,0,.494,22.0
2017,Central,Chicago White Sox,67,95,0,.414,35.0
2017,Central,Detroit Tigers,64,98,0,.395,38.0
2017,West,Team | Roster,Wins,Losses,Ties,WP,GB
2017,West,Houston Astros,101,61,0,.623,--
2017,West,Los Angeles Angels,80,82,0,.494,21.0
2017,West,Seattle Mariners,78,84,0,.481,23.0
2017,West,Texas Rangers,78,84,0,.481,23.0
2017,West,Oakland Athletics,75,87,0,.463,26.0
2017,A.L.,Team | Roster,Wins,Losses,Ties,WP,GB
2017,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings
2018,East,Boston Red Sox,108,54,0,.667,--,"$206,247,686"
2018,East,New York Yankees,100,62,0,.617,8.0,"$161,305,917"
2018,East,Tampa Bay Rays,90,72,0,.556,18.0,"$69,605,999"
2018,East,Toronto Blue Jays,73,89,0,.451,35.0,"$164,122,200"
2018,East,Baltimore Orioles,47,115,0,.290,61.0,"$148,160,873"
2018,Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2018,Central,Cleveland Indians,91,71,0,.562,--,"$136,652,167"
2018,Central,Minnesota Twins,78,84,0,.481,13.0,"$129,560,000"
2018,Central,Detroit Tigers,64,98,0,.395,27.0,"$111,286,000"
2018,Central,Chicago White Sox,62,100,0,.383,29.0,"$86,050,333"
2018,Central,Kansas City Royals,58,104,0,.358,33.0,"$115,483,116"
2018,West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2018,West,Houston Astros,103,59,0,.636,--,"$172,038,900"
2018,West,Oakland Athletics,97,65,0,.599,6.0,"$62,652,500"
2018,West,Seattle Mariners,89,73,0,.549,14.0,"$165,303,943"
2018,West,Los Angeles Angels,80,82,0,.494,23.0,"$171,248,332"
2018,West,Texas Rangers,67,95,0,.414,36.0,"$128,821,249"
2018,A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2018,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings
2019,East,New York Yankees,103,59,0,.636,--,"$208,084,848"
2019,East,Tampa Bay Rays,96,66,0,.593,7.0,"$60,444,931"
2019,East,Boston Red Sox,84,78,0,.519,19.0,"$222,171,123"
2019,East,Toronto Blue Jays,67,95,0,.414,36.0,"$112,037,006"
2019,East,Baltimore Orioles,54,108,0,.333,49.0,"$72,722,906"
2019,Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
2019,Central,Minnesota Twins,101,61,0,.623,--,"$121,276,933"
2019,Central,Cleveland Indians,93,69,0,.574,8.0,"$119,241,701"
2019,Central,Chicago White Sox,72,89,0,.447,28.5,"$89,354,534"
2019,Central,Kansas City Royals,59,103,0,.364,42.0,"$100,658,316"
2019,Central,Detroit Tigers,47,114,0,.292,53.5,"$116,478,400"
2019,West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
2019,West,Houston Astros,107,55,0,.660,--,"$160,774,666"
2019,West,Oakland Athletics,97,65,0,.599,10.0,"$92,318,333"
2019,West,Texas Rangers,78,84,0,.481,29.0,"$127,660,652"
2019,West,Los Angeles Angels,72,90,0,.444,35.0,"$159,378,583"
2019,West,Seattle Mariners,68,94,0,.420,39.0,"$150,906,143"
2019,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings
2019,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List
2020,East,Tampa Bay Rays,40,20,0,.667,--
2020,East,New York Yankees,33,27,0,.550,7.0
2020,East,Toronto Blue Jays,32,28,0,.533,8.0
2020,East,Baltimore Orioles,25,35,0,.417,15.0
2020,East,Boston Red Sox,24,36,0,.400,16.0
2020,Central,Team | Roster,W,L,T,WP,GB
2020,Central,Minnesota Twins,36,24,0,.600,--
2020,Central,Chicago White Sox,35,25,0,.583,1.0
2020,Central,Cleveland Indians,35,25,0,.583,1.0
2020,Central,Kansas City Royals,26,34,0,.433,10.0
2020,Central,Detroit Tigers,23,35,0,.397,12.0
2020,West,Team | Roster,W,L,T,WP,GB
2020,West,Oakland Athletics,36,24,0,.600,--
2020,West,Houston Astros,29,31,0,.483,7.0
2020,West,Seattle Mariners,27,33,0,.450,9.0
2020,West,Los Angeles Angels,26,34,0,.433,10.0
2020,West,Texas Rangers,22,38,0,.367,14.0
2020,A.L.,Team | Roster,W,L,T,WP,GB
2020,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings
2021,East,Tampa Bay Rays,100,62,0,.617,--
2021,East,Boston Red Sox,92,70,0,.568,8.0
2021,East,New York Yankees,92,70,0,.568,8.0
2021,East,Toronto Blue Jays,91,71,0,.562,9.0
2021,East,Baltimore Orioles,52,110,0,.321,48.0
2021,Central,Team | Roster,W,L,T,WP,GB
2021,Central,Chicago White Sox,93,69,0,.586,--
2021,Central,Cleveland Indians,80,82,0,.494,13.0
2021,Central,Detroit Tigers,77,85,0,.475,16.0
2021,Central,Kansas City Royals,74,88,0,.457,19.0
2021,Central,Minnesota Twins,73,89,0,.451,20.0
2021,West,Team | Roster,W,L,T,WP,GB
2021,West,Houston Astros,95,67,0,.586,--
2021,West,Seattle Mariners,90,72,0,.556,5.0
2021,West,Oakland Athletics,86,76,0,.531,9.0
2021,West,Los Angeles Angels,77,85,0,.754,18.0
2021,West,Texas Rangers,60,102,0,.370,35.0
2021,A.L.,Team | Roster,W,L,T,WP,GB
2021,2021 American League Standings,2021 American League Standings,2021 American League Standings,2021 American League Standings,2021 American League Standings,2021 American League Standings,2021 American League Standings
2022,East,New York Yankees,99,63,0,.611,-
2022,East,Toronto Blue Jays,92,70,0,.568,7.0
2022,East,Tampa Bay Rays,86,76,0,.531,13.0
2022,East,Baltimore Orioles,83,79,0,.512,16.0
2022,East,Boston Red Sox,78,84,0,.481,21.0
2022,Central,Team | Roster,W,L,T,WP,GB
2022,Central,Cleveland Guardians,92,70,0,.568,-
2022,Central,Chicago White Sox,81,81,0,.500,11.0
2022,Central,Minnesota Twins,78,84,0,.481,14.0
2022,Central,Detroit Tigers,66,96,0,.407,26.0
2022,Central,Kansas City Royals,65,97,0,.401,27.0
2022,West,Team | Roster,W,L,T,WP,GB
2022,West,Houston Astros,106,56,0,.654,-
2022,West,Seattle Mariners,90,72,0,.556,16.0
2022,West,Los Angeles Angels,73,89,0,.451,33.0
2022,West,Texas Rangers,68,94,0,.420,38.0
2022,West,Oakland Athletics,60,102,0,.370,46.0
2022,A.L.,Team | Roster,W,L,T,WP,GB
2022,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings
2023,East,Baltimore Orioles,101,61,0,.623,-
2023,East,Tampa Bay Rays,99,63,0,.611,2.0
2023,East,Toronto Blue Jays,89,73,0,.549,12.0
2023,East,New York Yankees,82,80,0,.506,19.0
2023,East,Boston Red Sox,78,84,0,.481,23.0
2023,Central,Team | Roster,W,L,T,WP,GB
2023,Central,Minnesota Twins,87,75,0,.537,-
2023,Central,Detroit Tigers,78,84,0,.481,9.0
2023,Central,Cleveland Guardians,76,86,0,.469,11.0
2023,Central,Chicago White Sox,61,101,0,.377,26.0
2023,Central,Kansas City Royals,56,106,0,.346,31.0
2023,West,Team | Roster,W,L,T,WP,GB
2023,West,Houston Astros,90,72,0,.556,-
2023,West,Texas Rangers,90,72,0,.556,-
2023,West,Seattle Mariners,88,74,0,.543,2.0
2023,West,Los Angeles Angels,73,89,0,.451,17.0
2023,West,Oakland Athletics,50,112,0,.309,40.0
2023,A.L.,Team | Roster,W,L,T,WP,GB
2023,2023 American League Standings,2023 American League Standings,2023 American League Standings,2023 American League Standings,2023 American League Standings,2023 American League Standings,2023 American League Standings
2024,East,New York Yankees,94,68,0,.580,-
2024,East,Baltimore Orioles,91,71,0,.562,3.0
2024,East,Boston Red Sox,81,81,0,.500,13.0
2024,East,Tampa Bay Rays,80,82,0,.494,14.0
2024,East,Toronto Blue Jays,74,88,0,.457,20.0
2024,Central,Team | Roster,W,L,T,WP,GB
2024,Central,Cleveland Guardians,92,69,0,.571,-
2024,Central,Kansas City Royals,86,76,0,.531,6.5
2024,Central,Detroit Tigers,86,76,0,.531,6.5
2024,Central,Minnesota Twins,82,80,0,.506,10.5
2024,Central,Chicago White Sox,41,121,0,.253,51.5
2024,West,Team | Roster,W,L,T,WP,GB
2024,West,Houston Astros,88,73,0,.547,-
2024,West,Seattle Mariners,85,77,0,.525,3.5
2024,West,Texas Rangers,78,84,0,.481,10.5
2024,West,Oakland Athletics,69,93,0,.426,19.5
2024,West,Los Angeles Angels,63,99,0,.389,25.5
2024,A.L.,Team | Roster,W,L,T,WP,GB
2024,2024 American League Standings,2024 American League Standings,2024 American League Standings,2024 American League Standings,2024 American League Standings,2024 American League Standings,2024 American League Standings
2025,East,New York Yankees,42,25,0,.627,-
2025,East,Toronto Blue Jays,38,30,0,.559,4.5
2025,East,Tampa Bay Rays,36,32,0,.529,6.5
2025,East,Boston Red Sox,34,36,0,.486,9.5
2025,East,Baltimore Orioles,27,40,0,.403,15.0
2025,Central,Team | Roster,W,L,T,WP,GB
2025,Central,Detroit Tigers,45,25,0,.643,-
2025,Central,Minnesota Twins,36,32,0,.529,8.0
2025,Central,Cleveland Guardians,35,32,0,.522,8.5
2025,Central,Kansas City Royals,34,35,0,.493,10.5
2025,Central,Chicago White Sox,23,46,0,.333,21.5
2025,West,Team | Roster,W,L,T,WP,GB
2025,West,Houston Astros,38,30,0,.559,-
2025,West,Los Angeles Angels,33,34,0,.493,4.5
2025,West,Seattle Mariners,33,34,0,.493,4.5
2025,West,Texas Rangers,33,36,0,.478,5.5
2025,West,Athletics,26,44,0,.371,13.0
2025,A.L.,Team | Roster,W,L,T,WP,GB
2025,2025 American League Standings,2025 American League Standings,2025 American League Standings,2025 American League Standings,2025 American League Standings,2025 American League Standings,2025 American League Standings
